Date,sensex_open,asp_close,asp_value,ab_close,ab_value,bf_close,bf_value,bfv_close,bfv_value,ba_close,ba_value,dr_close,dr_value,hcl_close,hcl_value,hdfc_close,hdfc_value,hdb_close,hdb_value,hul_close,hul_value,icici_close,icici_value,ib_close,ib_value,ifs_close,ifs_value,itc_close,itc_value,kmb_close,kmb_value,lt_close,lt_value,mm_close,mm_value,maruthi_close,maruthi_value,nestle_close,nestle_value,ntpc_close,ntpc_value,pg_close,pg_value,ri_close,ri_value,sbi_close,sbi_value,sun_close,sun_value,ts_close,ts_value,tcs_close,tcs_value,tm_close,tm_value,titan_close,titan_value,uc_close,uc_value,wipro_close,wipro_value
31-03-2022,58779.71,3081.75,2.03,761.15,1.56,7259.10,2.81,1705.21,1.89,755.40,2.63,4295.45,2.51,1163.35,1.15,2388.65,2.54,1469.95,1.28,2048.65,1.78,730.25,1.35,935.10,1.47,1907.20,0.98,250.80,1.94,1754.70,1.77,1767.45,1.40,805.80,1.87,7559.90,1.64,17376.80,1.27,134.95,0.89,216.85,1.14,2633.95,1.68,493.40,1.06,914.80,1.77,130.71,1.61,3738.80,0.91,1499.30,1.47,2536.15,1.11,6602.15,1.71,592.00,2.25
30-03-2022,58362.85,3080.15,1.22,750.45,3.31,7254.00,2.70,1712.75,4.71,749.40,3.37,4354.40,1.92,1166.00,1.72,2385.90,1.70,1476.40,1.99,2015.90,1.20,730.05,1.77,926.45,2.40,1917.70,1.23,249.15,3.10,1762.00,1.74,1773.35,1.34,793.15,2.42,7600.35,1.82,17295.55,1.69,135.00,1.65,216.45,3.02,2673.00,2.68,494.20,1.64,920.35,1.50,130.79,2.76,3730.65,0.83,1496.15,3.53,2523.55,2.12,6638.90,2.08,600.65,1.61
29-03-2022,57814.76,3043.55,2.50,737.80,1.46,7036.75,1.03,1649.68,1.23,754.55,3.50,4323.55,2.55,1168.40,0.95,2337.20,3.03,1452.95,2.10,1987.05,1.05,715.25,1.56,929.45,2.09,1885.90,1.55,254.65,1.48,1730.75,1.26,1745.40,1.54,773.20,1.59,7437.90,2.23,16922.85,1.04,134.35,1.46,211.20,2.24,2622.15,1.10,494.95,1.93,919.50,2.05,133.44,1.60,3704.95,0.84,1521.80,1.21,2538.90,1.31,6527.25,2.90,602.60,0.98
28-03-2022,57472.72,3026.80,2.04,736.00,3.20,7000.05,2.40,1651.90,2.81,733.35,3.81,4285.45,2.92,1163.70,2.42,2267.75,3.54,1432.90,2.51,1975.10,2.56,710.25,2.52,934.95,2.39,1873.45,1.48,257.20,2.14,1725.00,2.16,1741.25,1.93,769.85,2.75,7476.90,1.66,16863.45,2.92,134.80,1.34,212.25,2.43,2621.65,1.63,497.40,3.46,904.85,1.25,133.90,2.03,3706.05,1.42,1524.15,1.40,2535.85,2.48,6355.90,2.37,600.10,1.84
25-03-2022,57801.72,3046.40,2.39,721.25,1.56,6972.55,1.83,1634.09,1.67,709.25,1.22,4361.45,1.98,1180.35,2.03,2304.20,2.06,1431.75,2.28,1953.00,1.65,699.15,1.59,925.20,1.77,1876.40,1.98,253.30,2.61,1722.05,1.13,1750.90,2.10,764.70,2.12,7419.45,2.08,17177.10,1.76,134.70,1.49,209.60,1.96,2596.70,1.47,490.35,1.31,902.10,2.06,133.88,2.41,3707.95,2.86,1532.00,3.44,2524.60,4.49,6314.60,1.62,603.65,2.77
24-03-2022,57190.05,3023.50,2.95,722.25,1.59,6998.15,2.19,1637.76,1.92,706.25,1.66,4328.50,6.02,1191.60,2.06,2310.90,2.23,1442.70,2.17,1965.90,2.05,704.30,1.91,924.85,2.43,1886.85,2.22,254.85,2.03,1713.40,1.76,1771.05,1.41,765.85,2.25,7554.45,1.63,17392.85,1.38,135.40,1.99,210.75,1.54,2577.90,2.84,487.00,2.24,907.65,3.24,135.02,2.53,3750.00,1.56,1568.85,2.54,2618.70,3.31,6345.70,2.74,610.85,1.20
23-03-2022,58198.64,3016.15,2.49,726.75,2.52,6998.15,1.94,1639.38,2.33,705.05,2.40,4127.30,3.69,1179.90,1.74,2346.20,3.47,1475.65,3.67,1978.55,2.09,718.20,1.76,931.40,1.69,1871.85,2.31,251.95,2.07,1767.95,3.86,1767.05,1.76,774.15,2.77,7643.80,3.31,17349.10,1.38,133.45,1.06,210.10,1.13,2539.70,1.54,490.65,2.70,900.55,3.37,133.05,4.27,3708.25,1.09,1541.85,2.11,2689.40,2.39,6235.25,2.11,611.10,1.16
22-03-2022,57297.57,3051.70,2.95,731.40,4.20,6985.00,3.56,1650.10,4.04,719.25,2.10,4030.35,2.19,1177.15,1.69,2402.80,2.72,1494.45,2.80,1993.50,4.30,718.75,3.03,927.30,3.10,1887.30,2.71,249.80,2.94,1808.65,3.16,1773.90,3.21,784.60,2.48,7763.55,3.57,17415.65,3.22,132.85,1.78,208.70,2.65,2531.10,3.30,493.90,3.82,913.90,2.16,130.24,3.26,3700.95,2.39,1538.45,4.65,2712.80,2.68,6210.55,2.66,609.90,2.52
21-03-2022,58030.41,3045.75,3.06,725.90,3.55,6869.95,2.54,1617.73,1.71,709.35,2.99,4004.95,2.16,1168.80,3.86,2391.25,2.80,1486.05,1.49,2051.20,3.17,710.60,2.35,913.00,2.76,1852.60,2.45,244.40,1.64,1775.20,3.06,1756.40,3.67,783.05,1.78,7703.50,3.61,17859.55,3.88,132.95,1.29,204.90,5.18,2467.15,1.71,490.60,2.77,914.45,2.10,130.23,3.00,3625.25,2.74,1481.65,2.91,2705.70,2.53,6193.85,3.19,600.15,2.98
17-03-2022,57620.28,3135.00,2.56,739.25,1.40,6996.85,1.80,1637.74,1.99,722.80,1.82,4042.15,2.63,1196.55,2.04,2416.50,3.85,1480.25,1.37,2102.05,1.65,719.95,1.26,932.80,2.08,1854.40,4.92,244.85,1.11,1819.25,2.43,1787.50,2.03,794.60,2.95,7691.65,2.72,18269.40,3.13,132.90,1.74,211.50,2.38,2479.65,3.99,501.75,1.10,910.75,2.57,130.34,3.76,3675.20,1.33,1491.90,1.35,2703.25,4.60,6373.00,1.98,601.30,1.99
